symbol,TPS,TPS_Change
BTCUSDT,11.038958333333333,0.546
ETHUSDT,8.731319444444445,0.443
BUSDUSDT,3.0585416666666667,1.051
SOLUSDT,2.504861111111111,0.242
CRVUSDT,1.5297222222222222,0.429
ZILUSDT,1.3509722222222222,0.165
GALAUSDT,1.3497916666666667,0.113
DOGEUSDT,1.3156944444444445,0.174
ATOMUSDT,1.3093055555555555,0.319
AVAXUSDT,1.2002777777777778,0.249
SANDUSDT,1.1122222222222222,0.257
ADAUSDT,1.0580555555555555,0.349
XRPUSDT,1.0577083333333333,0.356
RLCUSDT,0.9895138888888889,0.303
WAVESUSDT,0.9448611111111112,0.302
FTMUSDT,0.9400694444444444,0.341
TRXUSDT,0.8889583333333333,0.922
NEARUSDT,0.7988194444444444,0.096
MANAUSDT,0.7845833333333333,0.248
LTCUSDT,0.773125,0.216
USDCUSDT,0.7083333333333334,0.82
ONEUSDT,0.6575694444444444,0.574
BATUSDT,0.6573611111111111,0.297
LUNAUSDT,0.613125,1.041
ROSEUSDT,0.60625,0.276
DOTUSDT,0.5752083333333333,0.109
EGLDUSDT,0.5397222222222222,0.245
VETUSDT,0.5004861111111111,0.153
GRTUSDT,0.49444444444444446,0.141
ALGOUSDT,0.4565972222222222,0.091
LINKUSDT,0.45361111111111113,0.246
IOTXUSDT,0.3873611111111111,0.324
ARUSDT,0.38666666666666666,1.402
MOVRUSDT,0.3565277777777778,0.884
THETAUSDT,0.3435416666666667,0.142
SNXUSDT,0.3254166666666667,0.493
AXSUSDT,0.31875,0.835
VGXUSDT,0.31354166666666666,2.777
LRCUSDT,0.28069444444444447,0.248
ALICEUSDT,0.2697222222222222,0.909
ETCUSDT,0.2629861111111111,0.212
BCHUSDT,0.23534722222222224,0.237
XMRUSDT,0.23319444444444445,0.569
OGNUSDT,0.23,0.577
CHZUSDT,0.22930555555555557,0.365
KAVAUSDT,0.22409722222222223,0.28
1INCHUSDT,0.22215277777777778,0.345
XTZUSDT,0.22208333333333333,0.125
FTTUSDT,0.21291666666666667,0.492
HOTUSDT,0.18895833333333334,0.258
RVNUSDT,0.18659722222222222,0.901
HBARUSDT,0.18291666666666667,0.343
CHRUSDT,0.18166666666666667,0.499
ICPUSDT,0.17881944444444445,0.547
ENJUSDT,0.17791666666666667,0.549
SKLUSDT,0.17423611111111112,0.04
NEOUSDT,0.17201388888888888,0.65
OCEANUSDT,0.16854166666666667,0.58
AMPUSDT,0.16527777777777777,0.507
DASHUSDT,0.16520833333333335,0.253
TUSDUSDT,0.16451388888888888,0.594
MINAUSDT,0.16395833333333334,0.682
SXPUSDT,0.15229166666666666,0.091
OMGUSDT,0.14076388888888888,0.148
CELOUSDT,0.13881944444444444,0.15
IOSTUSDT,0.13180555555555556,0.053
DENTUSDT,0.13159722222222223,0.212
ANKRUSDT,0.1279861111111111,1.487
ZECUSDT,0.12618055555555555,0.276
BAKEUSDT,0.11590277777777777,0.12
QNTUSDT,0.11576388888888889,0.06
KSMUSDT,0.11506944444444445,0.0
HNTUSDT,0.114375,0.305
REQUSDT,0.113125,5.711
ZENUSDT,0.11,0.508
POLYUSDT,0.10618055555555556,1.124
COTIUSDT,0.10513888888888889,0.799
MDXUSDT,0.10479166666666667,0.066
ICXUSDT,0.10361111111111111,0.947
CELRUSDT,0.10027777777777777,0.908
ZRXUSDT,0.09319444444444444,0.0
FLOWUSDT,0.09090277777777778,0.307
LPTUSDT,0.08888888888888889,2.155
QTUMUSDT,0.08763888888888889,0.079
COCOSUSDT,0.08604166666666667,0.243
LOKAUSDT,0.0775,0.0
MKRUSDT,0.07618055555555556,0.091
KLAYUSDT,0.07284722222222222,0.287
SYSUSDT,0.07194444444444445,0.485
TFUELUSDT,0.06652777777777778,0.842
BNTUSDT,0.0661111111111111,0.105
FETUSDT,0.065625,1.07
STMXUSDT,0.06465277777777778,0.0
STXUSDT,0.06270833333333334,0.894
SCUSDT,0.06152777777777778,0.113
OXTUSDT,0.059027777777777776,0.0
CVCUSDT,0.05479166666666667,0.382
HIVEUSDT,0.05305555555555556,0.262
WAXPUSDT,0.05236111111111111,0.266
XECUSDT,0.051458333333333335,0.271
POWRUSDT,0.050138888888888886,0.0
NKNUSDT,0.049444444444444444,0.565
CTSIUSDT,0.04798611111111111,0.0
VTHOUSDT,0.04534722222222222,0.462
ONGUSDT,0.03944444444444444,0.176
POLSUSDT,0.03833333333333333,1.657
WRXUSDT,0.03770833333333334,0.556
XEMUSDT,0.018541666666666668,0.0
DCRUSDT,0.017152777777777777,0.0
USDPUSDT,0.014930555555555556,0.467
GNOUSDT,0.012638888888888889,0.0
ARDRUSDT,0.012013888888888888,0.0
LSKUSDT,0.009791666666666667,0.0
